Features,Model,RMSE,R²,MAE
"GSA,VF",RandomForest,1.8056215852148696,0.9732278457815061,1.2902090724318742
"GSA,VF",GradientBoost,1.855919858287705,0.97171551472465,1.3187916053077102
"GSA,VF",XGBoost,2.452590870227372,0.9506053335741439,1.8273777945424747
"GSA,PV",LinearRegression,4.3939379485674035,0.8414604280289174,3.4534338540023657
"GSA,PV",SGDRegressor,4.396528790187418,0.841273410358718,3.4375494540628773
"GSA,PV",RandomForest,2.3709331969119285,0.9538397154407497,1.730748172432932
"GSA,PV",GradientBoost,2.7796736675735425,0.9365520684674654,2.0631115370161153
"GSA,PV",XGBoost,2.9460226391327176,0.9287307805813517,2.1878201186921475
"GSA,LCD",LinearRegression,4.261296066004071,0.8508877715817775,3.1570803896304236
"GSA,LCD",SGDRegressor,4.263350575214637,0.8507439532254942,3.133305164615964
"GSA,LCD",RandomForest,2.4465025288943583,0.9508502650243944,1.8285035666979077
"GSA,LCD",GradientBoost,2.4788858981953417,0.9495405031015769,1.8549341623837985
"GSA,LCD",XGBoost,2.835297194386371,0.9339873726053457,2.1522950349526404
"GSA,PLD",LinearRegression,4.395579970888693,0.84134191285593,3.3349615292499535
"GSA,PLD",SGDRegressor,4.408355203480849,0.8404183307835013,3.286223562511036
"GSA,PLD",RandomForest,3.046822586619064,0.9237703062148828,2.314516987850693
"GSA,PLD",GradientBoost,3.0880894892470936,0.9216913752952763,2.348177744345745
"GSA,PLD",XGBoost,3.2479173695965557,0.9133756904655931,2.4859101596810014
"VSA,VF",LinearRegression,4.415381013462806,0.8399092593132526,3.4394804116342237
"VSA,VF",SGDRegressor,4.425612947260389,0.8391664306424456,3.518166439070565
"VSA,VF",RandomForest,1.7216953394287924,0.9756587739221817,1.2086475112293142
"VSA,VF",GradientBoost,1.769039848167221,0.9743016598284057,1.2316501681997907
"VSA,VF",XGBoost,2.0981459537042095,0.9638505882961028,1.4896935665588367
"VSA,PV",LinearRegression,5.9357688553046195,0.7106764376195478,4.665224522768746
"VSA,PV",SGDRegressor,5.937833190640957,0.7104751613483893,4.690904467076406
"VSA,PV",RandomForest,2.368819089333575,0.9539219989054302,1.7438053978752275
"VSA,PV",GradientBoost,2.7337072494413897,0.9386331471682131,2.0372644302535314
"VSA,PV",XGBoost,2.8613246801027827,0.9327698432184989,2.138700763401592
"VSA,LCD",LinearRegression,5.061910534288677,0.7895936839761043,4.104461314332718
"VSA,LCD",SGDRegressor,5.063227084479385,0.7894842207616204,4.117823307049435
"VSA,LCD",RandomForest,2.813913183667461,0.934979361371683,2.042094140896137
"VSA,LCD",GradientBoost,3.259407764793053,0.9127616919590561,2.398595244949244
"VSA,LCD",XGBoost,3.613895260485601,0.8927540340192461,2.724998048627233
"VSA,PLD",LinearRegression,5.544388336218665,0.7475722334109448,4.473068072121763
"VSA,PLD",SGDRegressor,5.555136866232111,0.7465925554966987,4.524182703886475
"VSA,PLD",RandomForest,3.394120421984989,0.9054014812758971,2.5819975433470557
"VSA,PLD",GradientBoost,3.420529434616432,0.9039236476198692,2.6080477616388364
"VSA,PLD",XGBoost,4.035695313266059,0.8662583788306333,3.172227282975658
"VF,PV",LinearRegression,4.429265344132305,0.8389008536791108,3.4367180853320765
"VF,PV",SGDRegressor,4.430801033422087,0.8387891235827557,3.411584516938682
"VF,PV",RandomForest,1.8669631889093268,0.97137790938251,1.33323016284959
"VF,PV",GradientBoost,1.8878804265397784,0.97073295941312,1.3452936864835126
"VF,PV",XGBoost,2.224354384495113,0.9593708437928173,1.609799550509292
"VF,LCD",LinearRegression,4.366112186022474,0.8434620566794948,3.399706932224171
"VF,LCD",SGDRegressor,4.3678862146313815,0.8433348225655858,3.387296730002749
"VF,LCD",RandomForest,1.6011819783620935,0.9789471338594561,1.1124691247228644
"VF,LCD",GradientBoost,1.6452344000122578,0.9777727668281805,1.1502879069675236
"VF,LCD",XGBoost,2.196718361992037,0.960374148941769,1.6193539728367075
"VF,PLD",LinearRegression,4.357684105873668,0.8440658162321548,3.3978240392546866
"VF,PLD",SGDRegressor,4.359774956936918,0.8439161434412326,3.4334713870282774
"VF,PLD",RandomForest,1.7710319207436707,0.9742437506949968,1.2607812795626623
"VF,PLD",GradientBoost,1.7778754187203596,0.9740443151125872,1.2594164387228368
"VF,PLD",XGBoost,2.2207225275616693,0.9595034115334489,1.6464459988074618
"PV,LCD",LinearRegression,8.182260957565282,0.45023575010506933,6.731336638363655
"PV,LCD",SGDRegressor,8.18583641971398,0.4497551761534292,6.787071609786532
"PV,LCD",RandomForest,2.3918735575077537,0.9530207285330139,1.79113087764418
"PV,LCD",GradientBoost,2.4787984066485698,0.9495440649448444,1.8562087366927982
"PV,LCD",XGBoost,2.717729255782807,0.9393484056966932,2.0640440846247903
"PV,PLD",LinearRegression,7.868638280846124,0.49157253242759313,6.231619559720285
"PV,PLD",SGDRegressor,7.870027810000273,0.4913929493428917,6.216282606805864
"PV,PLD",RandomForest,2.6633384436400984,0.9417517934391071,2.0084271617416647
"PV,PLD",GradientBoost,2.732610145312746,0.9386823933469032,2.0580697744306073
"PV,PLD",XGBoost,2.8296061610199037,0.9342521088959155,2.144932298825744
"LCD,PLD",LinearRegression,7.699951675095999,0.5131380418891154,6.123689193034036
"LCD,PLD",SGDRegressor,7.700821877434899,0.5130279912361299,6.15331190725093
"LCD,PLD",RandomForest,3.3934130370663036,0.9054409086289967,2.5272308435121706
"LCD,PLD",GradientBoost,3.435432278406787,0.9030846371599137,2.564195750694024
"LCD,PLD",XGBoost,4.121424341108675,0.8605159638476575,3.068218213538523
"Density,GSA,VSA",LinearRegression,4.257789941214015,0.8511330448480852,3.322754032452481
"Density,GSA,VSA",SGDRegressor,4.25829229663604,0.8510979146350797,3.316514414204621
"Density,GSA,VSA",RandomForest,2.599347296188216,0.9445171884633623,1.920156659296788
"Density,GSA,VSA",GradientBoost,3.1001753482586647,0.9210772227475407,2.3168183636269895
"Density,GSA,VSA",XGBoost,3.1434036314404787,0.918860907981354,2.3498281074705165
"Density,GSA,VF",LinearRegression,3.6771626465572713,0.888966118525692,2.853362045645519
"Density,GSA,VF",SGDRegressor,3.677617697224099,0.8889386358315752,2.861997076416032
"Density,GSA,VF",RandomForest,1.4105345844509665,0.9836620591182533,0.9682852904313126
"Density,GSA,VF",GradientBoost,1.668940874805371,0.9771275996080354,1.1779670191103742
"Density,GSA,VF",XGBoost,1.78665334079438,0.9737873798652552,1.2599038362259063
"Density,GSA,PV",LinearRegression,4.1942137629236225,0.8555455369291655,3.294811589884844
"Density,GSA,PV",SGDRegressor,4.199610702242141,0.8551735417941243,3.317499317999525
"Density,GSA,PV",RandomForest,1.3079979695021948,0.9859510462768301,0.9398690357839707
"Density,GSA,PV",GradientBoost,1.680680048473513,0.9768047033362437,1.2600486254484544
"Density,GSA,PV",XGBoost,1.671892903246568,0.9770466144847387,1.2501186086466682
"Density,GSA,LCD",LinearRegression,4.125662527163506,0.8602289449913174,3.093020865166605
"Density,GSA,LCD",SGDRegressor,4.12721092666582,0.8601240105508119,3.07250529926794
"Density,GSA,LCD",RandomForest,1.5906090188690125,0.9792242493837723,1.1619255588394315
"Density,GSA,LCD",GradientBoost,2.270549433466317,0.9576657601925558,1.7110525332052269
"Density,GSA,LCD",XGBoost,2.864598147349329,0.932615927372915,2.168033911100927
"Density,GSA,PLD",LinearRegression,4.2238874718282835,0.8534943000383852,3.229149276619458
"Density,GSA,PLD",SGDRegressor,4.228251274258125,0.8531914263546618,3.216171772517571
"Density,GSA,PLD",RandomForest,2.027406668967321,0.9662470618328778,1.5026761954661059
"Density,GSA,PLD",GradientBoost,2.760253159207079,0.9374355438749795,2.102604878440717
"Density,GSA,PLD",XGBoost,3.0184883100576414,0.9251815272389032,2.2867426832504303
"Density,VSA,VF",LinearRegression,4.395694063173297,0.8413336764463195,3.430422672660941
"Density,VSA,VF",SGDRegressor,4.401709462629903,0.8408991173675847,3.4949171986645813
"Density,VSA,VF",RandomForest,0.847863220342448,0.9940968824029004,0.5703319369266739
"Density,VSA,VF",GradientBoost,1.6595228562115931,0.9773850142313492,1.1680958504104797
"Density,VSA,VF",XGBoost,1.724738379057234,0.9755726532559251,1.2145775152353842
"Density,VSA,PV",LinearRegression,5.176160257243386,0.7799885566529521,4.130382863337015
"Density,VSA,PV",SGDRegressor,5.1831994997236785,0.7793897471507716,4.07884404489949
"Density,VSA,PV",RandomForest,1.3177595582089725,0.985740569120869,0.9467791272810128
"Density,VSA,PV",GradientBoost,1.694521856618842,0.9764210646233632,1.2693504971234655
"Density,VSA,PV",XGBoost,1.6214852545486234,0.978409840555653,1.2118259544119299
"Density,VSA,LCD",LinearRegression,4.674301776339507,0.8205831047812246,3.7544632669805367
"Density,VSA,LCD",SGDRegressor,4.680214904411099,0.820128882450408,3.754635640293652
"Density,VSA,LCD",RandomForest,1.2724741222603766,0.9867037932236499,0.9334269394313837
"Density,VSA,LCD",GradientBoost,2.2616233187584442,0.957997959529572,1.701740221901487
"Density,VSA,LCD",XGBoost,2.6951604755066136,0.9403515585451592,2.0390587410806584
"Density,VSA,PLD",LinearRegression,4.924172376884804,0.8008885030557652,3.9564802858252683
"Density,VSA,PLD",SGDRegressor,4.925888295963055,0.8007497106988398,3.9424462188131657
"Density,VSA,PLD",RandomForest,1.48990395376709,0.9817716907627484,1.1172559046896398
"Density,VSA,PLD",GradientBoost,2.6295010680854576,0.9432224634598252,2.0024022105107973
"Density,VSA,PLD",XGBoost,2.636216498096784,0.9429320871171256,2.009613204288781
"Density,VF,PV",LinearRegression,4.409131858165328,0.8403620963092074,3.4262883868864753
"Density,VF,PV",SGDRegressor,4.424968278091478,0.839213283764481,3.3835592360890807
"Density,VF,PV",RandomForest,1.6702313656490326,0.9770922142502528,1.211004144440338
"Density,VF,PV",GradientBoost,1.7661773065483706,0.9743847592016005,1.2928697014375181
"Density,VF,PV",XGBoost,1.7591923356390264,0.9745869675604694,1.2854541071835806
"Density,VF,LCD",LinearRegression,4.3461413926136,0.8448908047895052,3.3873115251696455
"Density,VF,LCD",SGDRegressor,4.346873701946248,0.8448385296927933,3.3680428697585425
"Density,VF,LCD",RandomForest,0.9121880830726353,0.9931672012267485,0.644612358317394
