Features,Model,RMSE,R²,MAE
"Density,LCD",SGDRegressor,5.453560936349325,0.7557749637826454,4.273222017015508
"Density,LCD",RandomForest,2.6091648300244414,0.9440972884110983,1.9427798022701939
"Density,LCD",GradientBoost,2.851274460399224,0.9332412970269157,2.140134240844394
"Density,LCD",XGBoost,3.177876709714454,0.9170714769721139,2.4136375984858947
"Density,PLD",LinearRegression,5.444337070789348,0.756600403849647,4.2437190507889655
"Density,PLD",SGDRegressor,5.444348726092928,0.7565993617028497,4.242760756625858
"Density,PLD",RandomForest,2.9405890106135035,0.9289934352783569,2.2096297773062026
"Density,PLD",GradientBoost,3.132835422410621,0.9194055745432611,2.3701589388891375
"Density,PLD",XGBoost,3.237761208670136,0.913916587795874,2.4559420970733745
"GSA,VSA",LinearRegression,4.439381486904034,0.8381641341997356,3.4694561181797234
"GSA,VSA",SGDRegressor,4.442715746155045,0.8379209447498748,3.4959166766642475
"GSA,VSA",RandomForest,2.5882709315579553,0.9449890288314992,1.9072207134071617
"GSA,VSA",GradientBoost,3.1887383427383043,0.9165036270644661,2.393004853100381
"GSA,VSA",XGBoost,3.451231238398444,0.90219119342973,2.613572240416677
"GSA,VF",LinearRegression,3.6913016897351603,0.8881106050614715,2.867772599068416
"GSA,VF",SGDRegressor,3.6916658570397405,0.8880885269585569,2.876427783635443
"GSA,VF",RandomForest,1.8058646208570586,0.9732206382629008,1.2903104389193059
"GSA,VF",GradientBoost,1.8559198582877052,0.97171551472465,1.31879160530771
"GSA,VF",XGBoost,2.452590870227372,0.9506053335741439,1.8273777945424747
"GSA,PV",LinearRegression,4.3939379485674035,0.8414604280289174,3.4534338540023657
"GSA,PV",SGDRegressor,4.3945781701984155,0.8414142244369999,3.445684720013842
"GSA,PV",RandomForest,2.3705877569288925,0.9538531653737256,1.7295135107221093
"GSA,PV",GradientBoost,2.7787805389584026,0.9365928344466563,2.0622042980610886
"GSA,PV",XGBoost,2.9460226391327176,0.9287307805813517,2.1878201186921475
"GSA,LCD",LinearRegression,4.261296066004071,0.8508877715817775,3.1570803896304236
"GSA,LCD",SGDRegressor,4.2663472460615415,0.8505340580138897,3.1134280888955828
"GSA,LCD",RandomForest,2.4464696899632705,0.9508515844703451,1.8286577753334872
"GSA,LCD",GradientBoost,2.478796131852,0.9495441575517584,1.8538133196322655
"GSA,LCD",XGBoost,2.835297194386371,0.9339873726053457,2.1522950349526404
"GSA,PLD",LinearRegression,4.395579970888693,0.84134191285593,3.3349615292499535
"GSA,PLD",SGDRegressor,4.398136087691385,0.8411573335638273,3.336868867845936
"GSA,PLD",RandomForest,3.0464171860547573,0.9237905906285853,2.3134032219605887
"GSA,PLD",GradientBoost,3.090368154300661,0.9215757666244788,2.3493083600265128
"GSA,PLD",XGBoost,3.2479173695965557,0.9133756904655931,2.4859101596810014
"VSA,VF",LinearRegression,4.415381013462806,0.8399092593132526,3.4394804116342237
"VSA,VF",SGDRegressor,4.415569383560036,0.83989559935885,3.4438774949677047
"VSA,VF",RandomForest,1.7211587369885677,0.9756739444643301,1.2075220838391967
"VSA,VF",GradientBoost,1.7687229251527774,0.9743108667051288,1.230141966596997
"VSA,VF",XGBoost,2.0981459537042095,0.9638505882961028,1.4896935665588367
"VSA,PV",LinearRegression,5.9357688553046195,0.7106764376195478,4.665224522768746
"VSA,PV",SGDRegressor,5.939123122830019,0.7103493551955847,4.635214846509811
"VSA,PV",RandomForest,2.3679437863965402,0.9539560452015697,1.7423032736708166
"VSA,PV",GradientBoost,2.733707249441389,0.9386331471682131,2.0372644302535323
"VSA,PV",XGBoost,2.8613246801027827,0.9327698432184989,2.138700763401592
"VSA,LCD",LinearRegression,5.061910534288677,0.7895936839761043,4.104461314332718
"VSA,LCD",SGDRegressor,5.066186643867388,0.7892380473120049,4.096438122808524
"VSA,LCD",RandomForest,2.8135992812830697,0.9349938671462078,2.0421419600633306
"VSA,LCD",GradientBoost,3.2600400722038527,0.9127278411596657,2.3978984341116987
"VSA,LCD",XGBoost,3.613895260485601,0.8927540340192461,2.724998048627233
"VSA,PLD",LinearRegression,5.544388336218665,0.7475722334109448,4.473068072121763
"VSA,PLD",SGDRegressor,5.5451726119338565,0.7475008145430011,4.471253432864336
"VSA,PLD",RandomForest,3.393597347029895,0.9054306365779408,2.582015815411866
"VSA,PLD",GradientBoost,3.420114009747633,0.9039469832368543,2.607529938250447
"VSA,PLD",XGBoost,4.035695313266059,0.8662583788306333,3.172227282975658
"VF,PV",LinearRegression,4.429265344132305,0.8389008536791108,3.4367180853320765
"VF,PV",SGDRegressor,4.430027216183754,0.8388454280121136,3.4369056140745
"VF,PV",RandomForest,1.8670505726677782,0.9713752299891505,1.3336371955764512
"VF,PV",GradientBoost,1.8878804265397782,0.97073295941312,1.3452936864835126
