Features,Model,MSE,R²
"Density,PV,PLD",SK_GB,0.05598126790206044,0.9956742168309228
"Density,PV,PLD",SK_LR,0.9857130196801582,0.9238320075648792
"Density,LCD,PLD",SK_RF,0.14745998782490638,0.9886054754143605
"Density,LCD,PLD",XG_RF,0.2820481169112562,0.9782055847834825
"Density,LCD,PLD",SK_GB,0.13052897434688637,0.9899137682752291
"Density,LCD,PLD",SK_LR,2.471504213765779,0.8090219866238919
"GSA,VSA,VF",SK_RF,0.06436946272104772,0.9950260444452885
"GSA,VSA,VF",XG_RF,0.16436096172903725,0.9872995037707135
"GSA,VSA,VF",SK_GB,0.05629333466324478,0.9956501028157576
"GSA,VSA,VF",SK_LR,0.9847913767188892,0.9239032247373221
"GSA,VSA,PV",SK_RF,0.06654076308822394,0.9948582637762302
"GSA,VSA,PV",XG_RF,0.23707915257395612,0.9816804254998708
"GSA,VSA,PV",SK_GB,0.0730735561127226,0.9943534619528438
"GSA,VSA,PV",SK_LR,0.36910009148881795,0.9714789067253622
"GSA,VSA,LCD",SK_RF,0.13965851131883875,0.9892083109168172
"GSA,VSA,LCD",XG_RF,0.5250554464468746,0.9594279283376401
"GSA,VSA,LCD",SK_GB,0.12592784866360485,0.9902693063468992
"GSA,VSA,LCD",SK_LR,0.6331300518782883,0.9510767900604977
"GSA,VSA,PLD",SK_RF,0.1727335354361301,0.9866525384592567
"GSA,VSA,PLD",XG_RF,0.6531732260997045,0.949528014390508
"GSA,VSA,PLD",SK_GB,0.16143950712882016,0.9875252503393862
"GSA,VSA,PLD",SK_LR,0.7837449260565167,0.9394384811734482
"GSA,VF,PV",SK_RF,0.05603284400771911,0.9956702314433433
"GSA,VF,PV",XG_RF,0.10580117407387413,0.9918245342553144
"GSA,VF,PV",SK_GB,0.04808112386486993,0.9962846765684399
"GSA,VF,PV",SK_LR,0.6862234523373681,0.9469741581140979
"GSA,VF,LCD",SK_RF,0.1340073366182013,0.9896449883505669
"GSA,VF,LCD",XG_RF,0.25948513898361436,0.9799490706640526
"GSA,VF,LCD",SK_GB,0.12739719740726102,0.9901557668665871
"GSA,VF,LCD",SK_LR,1.4370887631377296,0.8889533121163509
"GSA,VF,PLD",SK_RF,0.15446960404158516,0.9880638285208881
"GSA,VF,PLD",XG_RF,0.31460865299991936,0.9756895678323323
"GSA,VF,PLD",SK_GB,0.1491324197183694,0.9884762432978457
"GSA,VF,PLD",SK_LR,2.1046134197886848,0.8373723631150438
"GSA,PV,LCD",SK_RF,0.08754844367200543,0.9932349587941126
"GSA,PV,LCD",XG_RF,0.329873185993088,0.9745100472108774
"GSA,PV,LCD",SK_GB,0.07623116143853123,0.994109467551058
"GSA,PV,LCD",SK_LR,0.48097487980039166,0.9628341208093136
"GSA,PV,PLD",SK_RF,0.10114178813886349,0.9921845742117363
"GSA,PV,PLD",XG_RF,0.3337934673164068,0.9742071193279982
"GSA,PV,PLD",SK_GB,0.09028971920609437,0.9930231350178468
"GSA,PV,PLD",SK_LR,0.6296476931883217,0.9513458787963245
"GSA,LCD,PLD",SK_RF,0.26419577695026436,0.9795850703618908
"GSA,LCD,PLD",XG_RF,0.6155907417884181,0.9524320872023331
"GSA,LCD,PLD",SK_GB,0.2839778791614013,0.9780564682419172
"GSA,LCD,PLD",SK_LR,1.5169183362870053,0.8827847232853888
"VSA,VF,PV",SK_RF,0.05460058733682809,0.9957809047459126
"VSA,VF,PV",XG_RF,0.10920128616007671,0.9915618008770493
"VSA,VF,PV",SK_GB,0.04811198172399288,0.9962822921207017
"VSA,VF,PV",SK_LR,0.8708727615223341,0.9327059411946192
"VSA,VF,LCD",SK_RF,0.2857751721227461,0.9779175878640077
"VSA,VF,LCD",XG_RF,0.4848596732070392,0.9625339351478667
"VSA,VF,LCD",SK_GB,0.2730517744488952,0.9789007499389952
"VSA,VF,LCD",SK_LR,2.72297538245313,0.7895903126053787
"VSA,VF,PLD",SK_RF,0.3016036535751874,0.9766944898309512
"VSA,VF,PLD",XG_RF,0.45076344907969795,0.9651686177477173
"VSA,VF,PLD",SK_GB,0.2818241855219676,0.9782228884043385
"VSA,VF,PLD",SK_LR,2.5862868808543342,0.8001525031698528
"VSA,PV,LCD",SK_RF,0.08326913101627506,0.9935656297373604
"VSA,PV,LCD",XG_RF,0.2853449664897813,0.9779508307031942
"VSA,PV,LCD",SK_GB,0.07280677401836282,0.9943740767323378
"VSA,PV,LCD",SK_LR,1.037613655969369,0.9198215428623461
"VSA,PV,PLD",SK_RF,0.10236971855419572,0.9920896896026071
"VSA,PV,PLD",XG_RF,0.27634649208922263,0.9786461605977834
"VSA,PV,PLD",SK_GB,0.09139573978579611,0.9929376706225655
"VSA,PV,PLD",SK_LR,1.183216466820231,0.908570526010586
"VSA,LCD,PLD",SK_RF,0.8885427490699584,0.9313405463474529
"VSA,LCD,PLD",XG_RF,2.0800999022429285,0.8392665710454507
"VSA,LCD,PLD",SK_GB,0.9238110407111432,0.9286152957752356
"VSA,LCD,PLD",SK_LR,2.7374487958272735,0.7884719233598456
"VF,PV,LCD",SK_RF,0.04671864145372242,0.9963899582761108
"VF,PV,LCD",XG_RF,0.14513442126644255,0.9887851765367927
"VF,PV,LCD",SK_GB,0.04336719307659221,0.9966489313134343
"VF,PV,LCD",SK_LR,0.8269715409852078,0.9360982752381013
"VF,PV,PLD",SK_RF,0.058980932247920934,0.9954424268406907
"VF,PV,PLD",XG_RF,0.15789659070340603,0.9877990184910708
"VF,PV,PLD",SK_GB,0.0528178544500053,0.9959186600380984
"VF,PV,PLD",SK_LR,0.880334677274523,0.9319748002712009
"VF,LCD,PLD",SK_RF,0.29502602494216457,0.9772027561903869
"VF,LCD,PLD",XG_RF,0.41413425722386965,0.9679990277681557
"VF,LCD,PLD",SK_GB,0.2694092828466046,0.9791822124613208
"VF,LCD,PLD",SK_LR,2.45457463055317,0.8103301689653265
"PV,LCD,PLD",SK_RF,0.08647847685896769,0.9933176372436149
"PV,LCD,PLD",XG_RF,0.23767288162170624,0.9816345468833622
"PV,LCD,PLD",SK_GB,0.07460802915769914,0.9942348901891072
"PV,LCD,PLD",SK_LR,1.2078170784949653,0.9066695881447673
"Density,GSA,VSA,VF",SK_RF,0.05732134440703388,0.995570666471888
"Density,GSA,VSA,VF",XG_RF,0.1374307797158449,0.9893804521389544
"Density,GSA,VSA,VF",SK_GB,0.05372793902120384,0.9958483360052913
"Density,GSA,VSA,VF",SK_LR,0.9690414172318679,0.9251202552229802
"Density,GSA,VSA,PV",SK_RF,0.05030593720459926,0.9961127608462705
"Density,GSA,VSA,PV",XG_RF,0.3005074521558105,0.9767791954803151
"Density,GSA,VSA,PV",SK_GB,0.05310004352109237,0.9958968547310743
"Density,GSA,VSA,PV",SK_LR,0.35353814587167354,0.972681409007849
"Density,GSA,VSA,LCD",SK_RF,0.12188656677946953,0.990581584182165
"Density,GSA,VSA,LCD",XG_RF,0.26189685904223753,0.9797627122904558
